sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,key_feature_1,key_feature_2,short_description,color,length,width,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
EE001,,Default,simple,Earring,base,Antique Rosette Earring,"This handcrafted piece in antique gold, features  flower with grey stone having bead tassels.                                                                                                                                   ",Plating- Electroplated Antique gold             ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Antique gold             </li><li>Stone-Faceted Foiled Stone</li></ul>,Antique gold,100,52,56,1,taxable,"Catalog, Search",1895,,,,Antique Rosette Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE002,,Default,simple,Earring,base,Grey Anemone Earring,This grey anemone earring features Silver embellishment of stone on fabric combine with 3d glass pipe embalishment and grey feather                                                                                                                                                             ,Plating- Electroplated Silver  ,Stone-Faceted Foiled Stone ,<ul><li>Plating- Electroplated Silver  </li><li>Stone-Faceted Foiled Stone </li></ul>,Silver,85,35,45,1,taxable,"Catalog, Search",1999,,,,Grey Anemone Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE003,,Default,simple,Earring,base,Clover Like Earring\ Deltoide Earring,Rose gold finish earrings with claw shape. Three layer of different shapes with grey stone enhancing the charm of this earring.                                                                                                         ,Plating- Electroplated Rose gold      ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold      </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,130,70,50,1,taxable,"Catalog, Search",2895,,,,Clover Like Earring\ Deltoide Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE004,,Default,simple,Earring,base,Abstract Mystery Earring,"This handcrafted Rectanglular tube rose gold earrings, arranged in an abstract form with crystal and grey glass pencil shape beads                                                                                                              ",Plating- Electroplated Rose gold                ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,105,45,108,1,taxable,"Catalog, Search",3950,,,,Abstract Mystery Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE005,,Default,simple,Earring,base,Septette Tassel Earring,"This Septette tassel Rose gold finish earrings, have grey stone and pearl with chain tassel attached from one ear to another. A must have.                                                                                                                          ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone          ,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone          </li></ul>,Rose gold,140,150,78,1,taxable,"Catalog, Search",3999,,,,Septette Tassel Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE006,,Default,simple,Earring,base,Asymmetrical Baguette Hoops,Abstract arrangement of baguette with very distintive combination of crystal and rose gold.                                                                             ,Plating- Electroplated Rose gold                                               ,"Stone-Faceted Foiled Stone , Cubic Zirconia","<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone , Cubic Zirconia</li></ul>",Rose gold,70,50,50,1,taxable,"Catalog, Search",4550,,,,Asymmetrical Baguette Hoops,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE007,,Default,simple,Earring,base,Milky Diamond Earring,Milky Diamond Earring with diamond shape  arrangments in rose gold finish and oval crystal with opaque and grey beads.                                                ,Plating - Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating - Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,105,45,70,1,taxable,"Catalog, Search",2150,,,,Milky Diamond Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE008,,Default,simple,Earring,base,Azaleas Tassel Earring, Azaleas tassel earrings with dramatic chain tassels. Handcrafted in Gunmetal plating with grey and crystal stones.                                                                                            ,Plating- ElectroplatedGunmetal                                              ,Stone-Faceted Foiled Stone,<ul><li>Plating- ElectroplatedGunmetal                                              </li><li>Stone-Faceted Foiled Stone</li></ul>,Gunmetal,270,55,125,1,taxable,"Catalog, Search",4599,,,,Azaleas Tassel Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE009,,Default,simple,Earring,base,Abstract Adore Earring,This abstract earring is handcrafted with small metallic flower with pipe arranged in an abstract way with gunmetal spikes.                                                               ,Plating- Electroplated Gunmetal                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Gunmetal                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Gunmetal,135,70,78,1,taxable,"Catalog, Search",3449,,,,Abstract Adore Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE010,,Default,simple,Earring,base,Enthral Gunmetal Earring ,Gunmetal statement piece with eye catching embellishment with crystal baguette golden grey sequins flower.                                                                                 ,Plating- Electroplated Gunmetal                                           ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Gunmetal                                           </li><li>Stone-Faceted Foiled Stone</li></ul>,Gunmetal,140,90,92,1,taxable,"Catalog, Search",3450,,,,Enthral Gunmetal Earring ,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE011,,Default,simple,Earring,base, Grelish Earring,Rose gold plated Grelish earrings features grey and crystal execution with metal ball chain. Can be effortlessly coordinatined with everything.                              ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,125,60,86,1,taxable,"Catalog, Search",2899,,,, Grelish Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE012,,Default,simple,Earring,base,The Allure Earring,Handcrafted Allure earrings with sequins is a masterpiece which features the petal crystal marquise and gush of gunmetal balls.                                                         ,Plating- Electroplated Silver and Gunmetal                                          ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Silver and Gunmetal                                          </li><li>Stone-Faceted Foiled Stone</li></ul>,Gunmetal,175,75,80,1,taxable,"Catalog, Search",2995,,,,The Allure Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE013,,Default,simple,Earring,base,Crystal Spiral Galaxy Earring ,"Handcrafted with rose gold plating and spirals,   Crystal baguette enhances the elegance of the this product with a round stone on top.                                            ",Plating- Electroplated Rose Gold                                              ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose Gold                                              </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,70,55,31,1,taxable,"Catalog, Search",2449,,,,Crystal Spiral Galaxy Earring ,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE014,,Default,simple,Earring,base,Euphoria Ovate Earring,This euphoria ovate earrings features the oval shape ring and metal pipe with some grey stone and grey dazzle drops in rose gold plating.                                     ,Plating- Electroplated Rose Gold                                              ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose Gold                                              </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,115,35,45,1,taxable,"Catalog, Search",2899,,,,Euphoria Ovate Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE015,,Default,simple,Earring,base,Geometry Of Space Earring,"Abtract geometrical shapes arranged in a simple format making it suitable for the classiest of affairs. Product features crystal, opaque and gold baguette stones.                                                                           ",Plating- Electroplated Rose Gold                                       ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose Gold                                       </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,65,40,30,1,taxable,"Catalog, Search",2199,,,,Geometry Of Space Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE016,,Default,simple,Earring,base,Milky Midnight Earring,This handcrafted rose gold finish earring has opaque milky and grey glass beads with spiral features. Claw like shape at the bottom.                                                                        ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,105,50,57,1,taxable,"Catalog, Search",2750,,,,Milky Midnight Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE017,,Default,simple,Earring,base,Pearl Paradise Earring,This Pearl paradise earring has a circular design. Texture domed sheet combine in such way that is gives an elegant abstract look.                                                                             ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,100,80,52,1,taxable,"Catalog, Search",2795,,,,Pearl Paradise Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE018,,Default,simple,Earring,base,Cuatro Lines Earring,"This rose gold minimlistic earring in shape of marquise, features four straights line in beam form with crystal marquise.                                                    ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,50,30,14,1,taxable,"Catalog, Search",1499,,,,Cuatro Lines Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE019,,Default,simple,Earring,base,Mesh Round Earring,"Mesh round earring has two mesh structure arranged in different lengths, hanging in half a round sheet with crystal and grey stone.                                   ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,110,35,40,1,taxable,"Catalog, Search",2850,,,,Mesh Round Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE020,,Default,simple,Earring,base,Pearl Galaxy Earring,"Handcrafted with rose gold plating in a circular arrangement, this product has unblemished pearls to provide elegance to this piece with grey stone on the top.                                                                                ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,60,35,40,1,taxable,"Catalog, Search",2150,,,,Pearl Galaxy Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE021,,Default,simple,Earring,base,Asymmetrical Twisted Earring,"Unique combination of a stud and earcuff, paired earrings with grey glass bead which enhances the pair.                                                                                                            ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,105,60,40,1,taxable,"Catalog, Search",1849,,,,Asymmetrical Twisted Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE022,,Default,simple,Earring,base,The beatitude Earring,The beatitude earrings has diamond shape attached with circular wire frame with dangle grey glass beads                                                                                  ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,115,60,52,1,taxable,"Catalog, Search",2450,,,,The beatitude Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE023,,Default,simple,Earring,base,Cloudy Midnight Earring ,"Handcrafted with rose gold plating features gush of grey beads , with crystal and opaque stone and diamond shape at the top .                                                                              ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,85,60,60,1,taxable,"Catalog, Search",1999,,,,Cloudy Midnight Earring ,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE024,,Default,simple,Earring,base,The Shell Elegance Earring,"The shell elegance earrings is handcrafted with silver plating,look features shell at the centre and surrounded with crystal marquise                                                                ",Plating- Electroplated Silver gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Silver gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Gunmetal,75,65,40,1,taxable,"Catalog, Search",1950,,,,The Shell Elegance Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE025,,Default,simple,Earring,base,The Elite Grey Earring,This earrings is embalished with foiled grey stone along with glass beads in rose gold plating make.                                        ,      Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>      Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,120,60,50,1,taxable,"Catalog, Search",2850,,,,The Elite Grey Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE026,,Default,simple,Earring,base,The Abstract Orb Earring, Triangular shape earrings has dangle mesh ball features  crystal baguettes.                                                         ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,80,25,20,1,taxable,"Catalog, Search",1550,,,,The Abstract Orb Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE027,,Default,simple,Earring,base,Empyrean Earring,Empyrean earring speaks with volume features fancy trillient crystal and black swarovski with raw like pearl and multi color glass beads.                                              ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,70,80,50,1,taxable,"Catalog, Search",7599,,,,Empyrean Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE028,,Default,simple,Earring,base,Dovetail Earring,"Geometrical shapes arranged in a simple format making it suitable for any occation .Product features crystal,gold stones  ,raw like pearl                                                                       ",Plating- Electroplated Rose Gold                                       ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose Gold                                       </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,80,60,65,1,taxable,"Catalog, Search",2999,,,,Dovetail Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE029,,Default,simple,Earring,base,The Mecer Earring,Gunmetal plated earrings featurs grey and crystal stone with metal ball chain arranged just like swing.                                ,   Plating- Electroplated Gunmetal                                               ,Stone-Faceted Foiled Stone,<ul><li>   Plating- Electroplated Gunmetal                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Gunmetal,115,70,82,1,taxable,"Catalog, Search",1650,,,,The Mecer Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE030,,Default,simple,Earring,base,The de La Leche Earring,Handcrafted earrings in rose gold plating features cone at the centre with crystal marquise combine with opaque glass beads.                                      ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,75,65,34,1,taxable,"Catalog, Search",2290,,,,The de La Leche Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE031,,Default,simple,Earring,base,Chain Tessel Earring,"Mesh round earring has two mesh structure arranged in different lengths, hanging in half a round sheet with crystal and grey stone.                                   ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,160,35,24,1,taxable,"Catalog, Search",1950,,,,Chain Tessel Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE032,,Default,simple,Earring,base,Layed square Earring,Geometrical shapes arranged in a simple format making it suitable for any occation .,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,115,40,38,1,taxable,"Catalog, Search",1050,,,,Layed square Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE033,,Default,simple,Earring,base,Enmesh  Ring Earring,Handcrafted earrings in rose gold plating features tangled metal rings with crystal and grey stones.                                                                                                           ,Plating- Electroplated R ose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated R ose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,120,45,30,1,taxable,"Catalog, Search",2099,,,,Enmesh  Ring Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE034,,Default,simple,Earring,base,Enmesh Tube Earring,"Handcrafted with rose gold plating ,this enmesh tube earring features crystal square ,baguette stone.                                                                                              ",Plating- Electroplated Rose Gold                                              ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose Gold                                              </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,75,35,16,1,taxable,"Catalog, Search",1500,,,,Enmesh Tube Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
